Black Rebel Motorcycle Club,84675,12839
ABBA,62128,13092
Duran Duran,41537,12763
Devendra Banhart,136911,13676
Miguel,60480,12095
Mac Miller,70487,11025
Fiona Apple,69824,12691
Wu-Tang Clan,58544,12517
Yellowcard,70857,12204
The Lonely Island,53098,13197
Editors,58112,12485
Rush,85912,12952
Jeff Buckley,48890,13121
The Cinematic Orchestra,50536,12829
The Game,45726,10500
Little Dragon,47199,12932
Killswitch Engage,76895,11488
Genesis,62222,12757
Stone Temple Pilots,48088,11617
Louis Armstrong,41477,12111
Andrew Bird,69384,12507
John Lennon,44658,12170
J. Cole,47667,9467
Alice Cooper,55033,12496
Bloodhound Gang,43163,12526
Opeth,96857,12817
Nelly,30794,11896
All Time Low,98838,11831
Cold War Kids,40023,12921
Zero 7,49959,12015
Childish Gambino,71183,12027
Porcupine Tree,116411,12605
Armin van Buuren,58822,12792
Yo La Tengo,91213,12727
Jefferson Airplane,49502,11577
The Avett Brothers,66573,11301
Spoon,41070,12316
Broken Bells,38176,12267
Goldfrapp,48990,11845
Cream,40059,10845
Jessie Ware,61156,12383
Faith No More,57601,12193
A Tribe Called Quest,60802,11787
Cage the Elephant,42500,11277
Big Sean,37217,8039
Leona Lewis,45833,10440
The Ting Tings,33857,12350
DJ Shadow,52316,12188
Pretty Lights,50233,12271
Electric Light Orchestra,45435,11744
Scissor Sisters,47729,12335
Toto,37013,12047
Nick Drake,68663,11885
Hoobastank,39151,10669
Jet,30072,12073
Timbaland,27343,11755
Walk the Moon,49266,10775
2 Chainz,33485,8629
Tiësto,39666,12191
The Raconteurs,45022,10946
Enrique Iglesias,34464,11971
Lou Reed,40499,11696
Morrissey,82399,11915
Pulp,49567,11900
Sleigh Bells,41015,11804
Friendly Fires,35235,11541
Thievery Corporation,59719,11097
Flying Lotus,92732,11899
The Fratellis,38103,11247
Matchbox Twenty,47191,10914
Taio Cruz,26109,10760
Gossip,40270,11902
MS MR,76310,12327
The Stone Roses,53079,11380
Gym Class Heroes,28364,12289
Hollywood Undead,115402,10954
Broken Social Scene,52463,11442
Whitney Houston,38013,10914
Five Finger Death Punch,68056,9289
Eddie Vedder,64706,11675
Imogen Heap,38909,11470
First Aid Kit,54958,11922
Bee Gees,39860,11439
Tears for Fears,34713,11101
Eagles,38051,9905
Stars,56013,11258
Best Coast,55788,11450
Radical Face,37250,11922
Sara Bareilles,42865,9967
a-ha,37539,11316
Far East Movement,27190,11060
The Glitch Mob,47904,11303
Django Django,55274,11675
Rob Zombie,44918,10457
Caribou,39019,11428
HIM,86852,11550
The Civil Wars,41648,10142
Kate Bush,62555,10750
Gwen Stefani,32909,10169
Dave Matthews Band,62129,10676
Starfucker,72749,11142
Cypress Hill,48261,10634
Cut Copy,40781,11016
James Morrison,36617,10254
Godsmack,51883,9005
Cat Stevens,39061,10881
Silversun Pickups,44715,11108
Frightened Rabbit,87737,11455
Ludacris,25802,10184
Janis Joplin,47988,10548
Pink,52462,11692
Staind,40925,9448
Lamb of God,78139,10004
Phillip Phillips,39682,11219
Bill Withers,27959,10690
Flux Pavilion,31699,10485
Ingrid Michaelson,38379,10259
Chromatics,48907,11048
Phantogram,37324,10976
Chase & Status,36386,10928
Enya,76424,10699
Morcheeba,53787,10470
Cults,31131,10601
Lady Antebellum,34871,9203
Die Antwoord,76592,11344
Frédéric Chopin,72744,10293
Woodkid,56108,11156
Miley Cyrus,44102,9622
RJD2,42752,10805
The Used,55091,10350
Klaxons,34713,10160
Ray LaMontagne,36191,9944
The Antlers,53358,10213
CAZZETTE,41547,11340
Groove Armada,31254,10154
Carrie Underwood,46098,8920
The Head And The Heart,34357,8530
The Gaslight Anthem,82472,10513
The Pretty Reckless,64201,10587
White Lies,40257,9922
R. Kelly,29198,9903
Lostprophets,44013,9686
Misfits,83017,10315
Ryan Adams,42942,10503
P.O.D.,40157,9552
The Maccabees,48499,10217
Autre Ne Veut,99819,11112
James Vincent McMorrow,35923,8893
Pet Shop Boys,45408,10406
Mastodon,74167,10171
3OH!3,40959,10419
Gnarls Barkley,28410,10118
Ella Fitzgerald,42106,9444
Paul McCartney,43433,9881
St. Vincent,46342,10174
Laura Marling,49699,8927
Soilwork,204372,10128
Foxygen,70845,10902
Colbie Caillat,33414,8774
Backstreet Boys,36486,10017
Billy Idol,26531,10299
The Libertines,46487,10119
Daughtry,45770,8442
Children of Bodom,70201,10046
Knife Party,30887,10809
AFI,50073,10159
Feed Me,29696,9262
Crystal Fighters,32794,10109
Trivium,63954,8896
Creed,34042,9100
Example,40970,10159
Tori Amos,59254,9700
Chuck Berry,29121,9399
Sade,46768,9444
Tom Petty and The Heartbreakers,33778,9389
Travis,38052,9581
Neon Indian,34491,9728
Kansas,24176,9567
Benny Benassi,21603,9781
John Williams,59178,9827
OK Go,29256,9817
Ra Ra Riot,39567,9495
Everything Everything,59592,10277
Wild Nothing,60425,9590
Selena Gomez & the Scene,49811,9061
Tycho,57192,9473
Supertramp,33656,9381
UNKLE,47525,9501
Enter Shikari,93917,10122
NOFX,77735,9145
Howard Shore,95352,9811
Flume,76341,10340
Apparat,59667,9910
Wale,28883,7475
Jason Derülo,22207,8373
Cyndi Lauper,25579,9305
Billie Holiday,46967,8992
Infected Mushroom,66817,9845
George Michael,28980,9256
The Pussycat Dolls,29232,7945
Foreigner,25174,8911
Third Eye Blind,30966,9163
Eurythmics,23919,9192
"Tyler, the Creator",53371,9509
Fever Ray,48149,9215
Taking Back Sunday,44270,9020
Boston,23185,8826
Ciara,35366,7774
Paolo Nutini,30523,9429
Plain White T's,24114,9458
Unknown Mortal Orchestra,66199,9951
Ice Cube,28626,8018
Trey Songz,29728,6794
The Whitest Boy Alive,34825,9649
Elbow,36512,9514
Thom Yorke,40065,9266
Tracy Chapman,29926,9569
Nouvelle Vague,39732,9201
Sean Paul,24581,9272
Mötley Crüe,41809,8938
Coheed and Cambria,95074,9403
Loreen,32670,9787
Anberlin,60082,9380
Portugal. The Man,52361,9604
Ólafur Arnalds,117756,8970
Rodriguez,120940,9717
Yes,44032,8941
Shout Out Louds,74517,9634
Archive,70687,9136
Serj Tankian,50032,8926
Four Tet,41087,9051
Ben Harper,30816,8358
She & Him,44594,9173
Rod Stewart,29177,8733
Dio,42572,8691
Al Green,28254,8548
"Earth, Wind & Fire",25634,8885
Brian Eno,57064,9067
Deerhunter,52187,8962
The Mars Volta,54362,9168
Gavin DeGraw,27655,8452
Bush,28500,8524
Roxette,34558,8979
Parkway Drive,102721,8559
Sepultura,54901,8808
The Animals,21873,8694
Beach Fossils,74053,8907
Emancipator,65789,8533
Machine Head,50378,8134
God Is an Astronaut,85401,8754
You Me at Six,59668,8084
Red,59512,7213
Chairlift,27878,8973
Def Leppard,36567,8305
Joshua Radin,29470,8172
Cee Lo Green,20408,9006
Etta James,29287,8190
Blind Guardian,77134,8845
Common,29810,7787
C2C,42178,9301
Cher Lloyd,31570,7271
Duffy,27586,8080
Pavement,59307,8632
Dusty Springfield,22319,8666
Flyleaf,50576,8044
Asking Alexandria,74366,7659
Dinosaur Jr.,50999,8820
The Dandy Warhols,27657,8985
Drowning Pool,30826,7203
Céline Dion,37985,8466
Hall & Oates,22522,8401
Whitesnake,30986,8237
Anthrax,44372,8220
Sonata Arctica,73791,8703
Volbeat,55547,8425
Tricky,39871,8324
Atlas Genius,45129,9245
Blue Öyster Cult,29403,8250
College,22651,8993
DJ Fresh,21423,8861
Flogging Molly,47753,8357
Blake Shelton,25609,5899
As I Lay Dying,67827,7411
Macklemore,34884,8476
Fort Minor,27211,7935
Helloween,71628,8675
My Morning Jacket,36633,8507
Dirty Projectors,40829,8731
Cobra Starship,23360,8416
INXS,28850,8358
Faithless,29782,8095
Antonio Vivaldi,46743,7804
The Throne,24049,8348
Manic Street Preachers,43589,8514
The Rapture,22340,8721
Jason Aldean,31749,5407
Netsky,44259,8573
Sex Pistols,31446,8323
The Mamas & the Papas,21390,8278
Adam Lambert,44350,8410
Mos Def,33945,8094
Peter Gabriel,33405,8266
Bingo Players,18734,8570
Lenka,28247,8444
The Joy Formidable,38886,8401
Anathema,84957,8565
of Montreal,46881,8424
Akon,22111,7330
The Dead Weather,35939,7258
Escape the Fate,50970,7559
Clint Mansell,44304,8506
Mayday Parade,45428,7699
Tom Petty,22492,7495
Amy Macdonald,43206,8116
Benjamin Francis Leftwich,33404,7474
David Gray,26231,7919
Electric Guest,27467,8819
Kaskade,29814,8111
Solange,33246,8237
Charlie Brown JR.,174742,8755
Meek Mill,23473,4483
Porter Robinson,21280,7344
John Coltrane,38835,7837
